Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,ResultsScore
449,7.23,0,Tawanna MEADOWS,04 AUG 1986,USA,3,Eaubonne (FRA) (i),09 FEB 2016,1141
449,7.23,0,Crystal EMMANUEL,27 NOV 1991,CAN,1,NY (USA) (i),12 FEB 2016,1141
449,7.23,0,Felicia BROWN,27 OCT 1993,USA,1h3,"Fayetteville, AR (USA) (i)",26 FEB 2016,1141
449,7.23,0,Klára SEIDLOVÁ,10 MAR 1994,CZE,1,Praha (CZE) (i),17 FEB 2018,1141
449,7.23,0,Gabriele CUNNINGHAM,22 FEB 1998,USA,2,"Lubbock, TX (USA) (i)",25 JAN 2019,1141
449,7.23,0,Kendra HARRISON,18 SEP 1992,USA,1h2,"Houston-Yeoman FH, Houston, TX (USA) (i)",17 JAN 2020,1141
449,7.23,0,Thelma DAVIES,08 MAY 2000,USA,2,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",14 FEB 2020,1141
449,7.23,0,Rebakah SMITH,01 MAY 1998,USA,2,"LSU Carl Maddox Fieldhouse, Baton Rouge, LA (USA) (i)",21 FEB 2020,1141
449,7.23,0,Kynnedy FLANNEL,12 JUL 2000,USA,2,"Gilliam Indoor Track, College Station, TX (USA) (i)",06 FEB 2021,1141
449,7.23,0,Rafailia SPANOUDAKI-CHATZIRIGA,07 JUN 1994,GRE,1f2,"Peace and Friendship Stadium, Piraeus (GRE) (i)",12 FEB 2021,1141
449,7.23,0,Halle HAZZARD,04 FEB 1999,GRN,4h1,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",12 MAR 2021,1141
449,7.23,0,Edidiong Ofinome ODIONG,13 MAR 1997,BRN,1h2,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",25 FEB 2022,1141
449,7.23,0,Madison MERRIDITH,16 FEB 1998,USA,1,"Gately Indoor TF Center, Chicago, IL (USA) (i)",28 FEB 2022,1141
449,7.23,0,Jayla JAMISON,06 SEP 2003,USA,4sf3,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",10 FEB 2023,1141
449,7.23,0,Ashanti MOORE,07 NOV 2000,JAM,1,"Sports Performance Center, Lubbock, TX (USA) (i)",17 FEB 2023,1141
449,7.23,0,Denisha CARTWRIGHT,28 DEC 1999,BAH,1h1,"Myers Fieldhouse, Mankato, MN (USA) (i)",25 FEB 2023,1141
449,7.23,0,Jahniya BOWERS,,USA,2h3,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,1141
449,7.23,0,Marine JEHAES,30 JUN 2003,BEL,1,"Complexe Sportif de Blocry, Louvain-La-Neuve (BEL) (i)",03 MAR 2024,1141
494,7.24,0,Monika HAMANN,08 JUN 1954,GDR,2,"Rondo, Katowice (POL) (i)",09 MAR 1975,1137
494,7.24,0,Sybille PFENNIG,11 FEB 1956,GDR,1h,Berlin (GER) (i),14 JAN 1976,1137
494,7.24,0,Annegret RICHTER,13 OCT 1950,FRG,1,Dortmund (GER) (i),19 FEB 1977,1137
494,7.24,0,Doris ZANKE,01 MAR 1958,GDR,4,Senftenberg (GER) (i),26 JAN 1980,1137
494,7.24,0,Lyudmila KONDRATYEVA,11 APR 1958,URS,1,Moskva (URS) (i),12 FEB 1982,1137
494,7.24,0,Gesine WALTHER,06 OCT 1962,GDR,2,Senftenberg (GER) (i),13 FEB 1982,1137
494,7.24,0,Elżbieta TOMCZAK,07 JAN 1961,POL,1,Zabrze (POL) (i),16 FEB 1985,1137
289,7.19,0,Juanita BROADDUS,12 MAY 1985,USA,1,"Baton Rouge, LA (USA) (i)",02 MAR 2007,1154
289,7.19,0,Oludamola OSAYOMI,26 JUN 1986,NGR,1f1,"Chapel Hill, NC (USA) (i)",16 FEB 2008,1154
289,7.19,0,Natalya MURINOVICH,27 MAY 1985,RUS,1,Moskva (RUS) (i),13 FEB 2009,1154
289,7.19,0,Rachelle BOONE-SMITH,30 JUN 1981,USA,3,"Boston, MA (USA) (i)",01 MAR 2009,1154
289,7.19,0,Véronique MANG,15 DEC 1984,FRA,1h1,Metz (FRA) (i),25 FEB 2011,1154
289,7.19,0,Shayla MAHAN,18 JAN 1989,USA,3,"Albuquerque, NM (USA) (i)",03 MAR 2013,1154
289,7.19,0,Franciela KRASUCKI,26 APR 1988,BRA,1er,Sâo Caetano do Sul (BRA) (i),16 FEB 2014,1154
289,7.19,0,Khamica BINGHAM,15 JUN 1994,CAN,1,Windsor (CAN) (i),12 MAR 2015,1154
289,7.19,0,Alexandra BURGHARDT,28 APR 1994,GER,4,Leipzig (GER) (i),18 FEB 2017,1154
289,7.19,0,Destiny CARTER,09 OCT 1992,USA,2,"Albuquerque, NM (USA) (i)",18 FEB 2018,1154
289,7.19,0,Rachel MILLER,29 JAN 1990,GBR,3h1,"Arena Birmingham, Birmingham (GBR) (i)",16 FEB 2019,1154
289,7.19,0,Lisa Marie KWAYIE,27 OCT 1996,GER,1,Leipzig (GER) (i),16 FEB 2019,1154
289,7.19,0,Jennifer MONTAG,11 FEB 1998,GER,2,"Helmut-Körnig-Halle, Dortmund (GER) (i)",20 FEB 2021,1154
289,7.19,0,Yasmin KWADWO,09 NOV 1990,GER,3,"Helmut-Körnig-Halle, Dortmund (GER) (i)",20 FEB 2021,1154
289,7.19,0,Molly SCOTT,30 MAR 1999,IRL,1,"National Indoor Arena, Abbotstown, Dublin (IRL) (i)",27 FEB 2022,1154
289,7.19,0,Cheyanne EVANS-GRAY,15 JUL 1998,GBR,6sf2,"Štark Arena, Beograd (SRB) (i)",18 MAR 2022,1154
289,7.19,0,Brittany BROWN,18 APR 1995,USA,1h1,"Iowa-Recreation Building, Iowa City, IA (USA) (i)",21 JAN 2023,1154
289,7.19,0,Kevona DAVIS,20 DEC 2001,JAM,2sf3,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",10 FEB 2023,1154
289,7.19,0,Akilah LEWIS,10 DEC 2000,TTO,2,"SPIRE Institute Indoor Track & Field Facility, Geneva, OH (USA) (i)",25 FEB 2023,1154
289,7.19,0,Magdalena STEFANOWICZ,21 SEP 2000,POL,1h1,"Arena, Toruń (POL) (i)",17 FEB 2024,1154
289,7.19,0,Nadine VISSER,09 FEB 1995,NED,1,"Omnisport, Apeldoorn (NED) (i)",17 FEB 2024,1154
289,7.19,0,Shenese WALKER,23 JAN 2003,JAM,5,"The Track at New Balance, Boston, MA (USA) (i)",09 MAR 2024,1154
289,7.19,0,Brianna SELBY,03 JAN 2006,USA,1,"The Track at New Balance, Boston, MA (USA) (i)",10 MAR 2024,1154
324,7.2,0,Irena SZEWIŃSKA,24 MAY 1946,POL,3,"Scandinavium, Göteborg (SWE) (i)",10 MAR 1974,1151
324,7.2,0,Bärbel LOCKHOFF-SCHÖLZEL,09 OCT 1959,GDR,3,Senftenberg (GER) (i),19 FEB 1983,1151
324,7.2,0,Wendy HOYTE,17 DEC 1957,GBR,3sf1,"Arena Stade Couvert, Liévin (FRA) (i)",22 FEB 1987,1151
324,7.2,0,Kerstin BEHRENDT,02 SEP 1967,GDR,1,Senftenberg (GER) (i),11 FEB 1989,1151
324,7.2,0,Yelena KELCHEVSKAYA,07 MAY 1955,URS,sf,Chelyabinsk (URS) (i),03 FEB 1990,1151
324,7.2,0,Sisko HANHIJOKI,25 APR 1962,FIN,1,Karlsruhe (GER) (i),11 FEB 1990,1151
324,7.2,0,Merlene FRAZER,27 DEC 1973,JAM,1,Dortmund (GER) (i),09 FEB 1997,1151
324,7.2,0,Katerina KOFFA,10 APR 1969,GRE,2,Pireaus (GRE) (i),14 FEB 1997,1151
324,7.2,0,Passion RICHARDSON,25 JAN 1975,USA,1,"Ames, IA (USA) (i)",12 DEC 1997,1151
324,7.2,0,Glory ALOZIE,30 DEC 1977,NGR,3,Pireaus (GRE) (i),24 FEB 1999,1151
324,7.2,0,Manuela LEVORATO,16 MAR 1977,ITA,6sf1,"Green Dome, Maebashi (JPN) (i)",07 MAR 1999,1151
324,7.2,0,Alenka BIKAR,07 JAN 1974,SLO,5,"Topsporthal Vlaanderen, Gent (BEL) (i)",27 FEB 2000,1151
324,7.2,0,Gabi ROCKMEIER,29 NOV 1973,GER,2,Chemnitz (GER) (i),07 FEB 2003,1151
324,7.2,0,Debbie FERGUSON,16 JAN 1976,BAH,2,"Fayetteville, AR (USA) (i)",14 FEB 2004,1151
324,7.2,0,Olga FYODOROVA,14 JUL 1983,RUS,1,Yekaterinburg (RUS) (i),07 JAN 2005,1151
324,7.2,0,Svetlana POSPELOVA,24 DEC 1979,RUS,1h1,Volgograd (RUS) (i),15 JAN 2005,1151
324,7.2,0,Amber WILLIAMS,15 DEC 1985,USA,1,"Muncie, IN (USA) (i)",17 FEB 2006,1151
324,7.2,0,Cleo TYSON,01 MAY 1986,USA,1h1,"Fayetteville, AR (USA) (i)",10 MAR 2006,1151
324,7.2,0,Daria KORCZYŃSKA,30 JUL 1981,POL,3,"National Indoor Arena, Birmingham (GBR) (i)",04 MAR 2007,1151
324,7.2,0,Aksana DRAHUN,19 APR 1981,BLR,2,Mogilyov (BLR) (i),22 FEB 2008,1151
324,7.2,0,Yuliya KATSURA,28 MAY 1983,RUS,1,Moskva (RUS) (i),07 FEB 2010,1151
324,7.2,0,Kimberly SMITH,03 MAR 1988,JAM,1,"Johnson City, TN (USA) (i)",06 MAR 2010,1151
324,7.2,0,Amber PURVIS,23 JAN 1990,USA,2h3,"College Station, TX (USA) (i)",11 MAR 2011,1151
324,7.2,0,Scottesha MILLER,14 JAN 1988,USA,4,"College Station, TX (USA) (i)",12 MAR 2011,1151
324,7.2,0,Kai SELVON,13 APR 1992,TTO,1,"Lexington, KY (USA) (i)",26 FEB 2012,1151
324,7.2,0,Viktoriya ZYABKINA,04 SEP 1992,KAZ,1,Ust-Kamenogorsk (KAZ) (i),29 JAN 2016,1151
324,7.2,0,Marika POPOWICZ-DRAPAŁA,28 APR 1988,POL,1,Toruń (POL) (i),05 MAR 2016,1151
324,7.2,0,Andrea PURICA,21 NOV 1995,VEN,2,"Atletická hala, Ostrava (CZE) (i)",14 FEB 2017,1151
324,7.2,0,Floriane GNAFOUA,30 JAN 1996,FRA,6,"Kombank Arena, Beograd (SRB) (i)",05 MAR 2017,1151
324,7.2,0,Arianna WASHINGTON,04 SEP 1996,USA,3,"College Station, TX (USA) (i)",11 MAR 2017,1151
324,7.2,0,Quanesha BURKS,15 MAR 1995,USA,2h2,"Emirates Arena, Glasgow (GBR) (i)",25 FEB 2018,1151
324,7.2,0,Sha'Carri RICHARDSON,25 MAR 2000,USA,2,"Fayetteville, AR (USA) (i)",26 JAN 2019,1151
324,7.2,0,Brianna MCNEAL,18 AUG 1991,USA,1,"Houston-Yeoman FH, Houston, TX (USA) (i)",31 JAN 2020,1151
324,7.2,0,Maia MCCOY,09 DEC 1996,USA,4,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",14 FEB 2020,1151
324,7.2,0,Lanae-Tava THOMAS,28 JAN 2001,USA,1h1,"Dempsey Indoor, Seattle, WA (USA) (i)",28 FEB 2020,1151
324,7.2,0,Brianna DUNCAN,06 OCT 1998,USA,1,"US Air Force Academy Cadet Field House, Colorado Springs, CO (USA) (i)",27 FEB 2021,1151
324,7.2,0,Diana VAISMAN,23 JUL 1998,ISR,6sf1,"Štark Arena, Beograd (SRB) (i)",18 MAR 2022,1151
324,7.2,0,Taylor ANDERSON,01 DEC 1994,USA,7,"Convention Center, Albuquerque, NM (USA) (i)",18 FEB 2023,1151
324,7.2,0,Ackera NUGENT,29 APR 2002,JAM,3,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",25 FEB 2023,1151
324,7.2,0,Makayla JACKSON,25 AUG 2000,USA,1,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",11 MAR 2023,1151
324,7.2,0,Leah BERTRAND,26 JUL 2002,TTO,1,"Sports Performance Center, Lubbock, TX (USA) (i)",20 JAN 2024,1151
324,7.2,0,Melissa GUTSCHMIDT,07 JAN 2002,SUI,1sf1,"Athletik Zentrum, St. Gallen (SUI) (i)",17 FEB 2024,1151
324,7.2,0,Boglárka TAKÁCS,28 AUG 2001,HUN,1f1,"Nyíregyházi Atlétikai Centrum, Nyíregyháza (HUN) (i)",17 FEB 2024,1151
324,7.2,0,Farzaneh FASIHI,03 JAN 1993,IRI,1,"Aftab Enghelab Sport Complex, Tehran (IRI) (i)",18 FEB 2024,1151
368,7.21,0,Jeanette BOLDEN,26 JAN 1960,USA,1,Tokyo (JPN) (i),21 MAR 1981,1147
368,7.21,0,Heather OAKES,14 AUG 1959,GBR,2,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",19 JAN 1985,1147
368,7.21,0,Eva MURKOVÁ,29 MAY 1962,TCH,1,Jablonec (TCH) (i),09 FEB 1985,1147
368,7.21,0,Nadezhda GEORGIEVA,02 SEP 1961,BUL,1,Sofia (BUL) (i),21 FEB 1988,1147
368,7.21,0,Antonina SLYUSSAR,19 MAR 1963,URS,1f2,Moskva (URS) (i),25 FEB 1989,1147
368,7.21,0,Sabine TRÖGER,07 JUN 1967,AUT,sf,Wien (AUT) (i),27 FEB 1993,1147
368,7.21,0,Holli HYCHE,06 SEP 1971,USA,1,Glasgow (GBR) (i),12 FEB 1994,1147
368,7.21,0,Stephanie DOUGLAS,22 JAN 1969,GBR,1,Glasgow (GBR) (i),11 FEB 1995,1147
368,7.21,0,Laloa RAVAONIRINA,08 NOV 1963,MAD,2h4,"Palau Sant Jordi, Barcelona (ESP) (i)",10 MAR 1995,1147
368,7.21,0,D'Andre HILL,19 APR 1973,USA,1,"Lexington, KY (USA) (i)",25 FEB 1996,1147
368,7.21,0,Gulnara SAFIULLINA,29 JAN 1969,RUS,2,Moskva (RUS) (i),06 JAN 1998,1147
368,7.21,0,Svetlana GONCHARENKO,28 MAY 1971,RUS,,Moskva (RUS) (i),22 JAN 1999,1147
368,7.21,0,Oksana EKK,26 NOV 1974,RUS,2,Chemnitz (GER) (i),29 JAN 1999,1147
368,7.21,0,Nora GÜNER,01 JUN 1977,TUR,3h1,Karlsruhe (GER) (i),27 JAN 2001,1147
368,7.21,0,Esther MÖLLER,13 SEP 1977,GER,2,Dortmund (GER) (i),05 FEB 2003,1147
368,7.21,0,Sanya RICHARDS-ROSS,26 FEB 1985,USA,1,"Lincoln, NE (USA) (i)",28 FEB 2004,1147
368,7.21,0,LaTasha COLANDER,23 AUG 1976,USA,3,"Fayetteville, AR (USA) (i)",11 FEB 2005,1147
368,7.21,0,Amberly NESBITT,19 AUG 1986,USA,4,"Fayetteville, AR (USA) (i)",10 FEB 2006,1147
368,7.21,0,Virginia CRAWFORD,07 SEP 1983,USA,2h1,"Fayetteville, AR (USA) (i)",10 MAR 2006,1147
368,7.21,0,Alexis JOYCE,15 SEP 1983,USA,2,"Boston, MA (USA) (i)",24 FEB 2008,1147
368,7.21,0,Jodie WILLIAMS,28 SEP 1993,GBR,4sf2,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",05 MAR 2011,1147
368,7.21,0,Hrystyna STUY,03 FEB 1988,UKR,5,"Palais Omnisports de Paris-Bercy, Paris (FRA) (i)",06 MAR 2011,1147
368,7.21,0,Candyce MCGRONE,24 MAR 1989,USA,3sf2,"Albuquerque, NM (USA) (i)",26 FEB 2012,1147
368,7.21,0,Tiffany TOWNSEND,14 JUN 1989,USA,4,"New York, NY (USA) (i)",14 FEB 2015,1147
368,7.21,0,Ángela Gabriela TENORIO,27 JAN 1996,ECU,5sf3,"Oregon Convention Center, Portland, OR (USA) (i)",19 MAR 2016,1147
368,7.21,0,Krystsina TSIMANOUSKAYA,19 NOV 1996,BLR,1,Mogilyov (BLR) (i),18 FEB 2017,1147
368,7.21,0,Cassondra HALL,23 SEP 1997,USA,3h2,"College Station, TX (USA) (i)",09 MAR 2018,1147
368,7.21,0,Maja MIHALINEC,17 DEC 1989,SLO,6,"Emirates Arena, Glasgow (GBR) (i)",02 MAR 2019,1147
368,7.21,0,Diana JOHNSON,12 NOV 1995,JAM,1,"Pittsburg, KS (USA) (i)",09 MAR 2019,1147
368,7.21,0,Viktoriya RATNIKOVA,15 MAY 1999,UKR,1,"SumDU Arena, Sumy (UKR) (i)",20 FEB 2020,1147
368,7.21,0,Gabrielle THOMAS,07 DEC 1996,USA,5,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",24 JAN 2021,1147
368,7.21,0,Anna KIEŁBASIŃSKA,26 JUN 1990,POL,1,"Arena, Toruń (POL) (i)",30 JAN 2021,1147
368,7.21,0,Amy HUNT,15 MAY 2002,GBR,1,"Manchester Regional Arena, Manchester (GBR) (i)",22 JAN 2022,1147
494,7.24,0,Heidi-Elke GAUGEL,11 JUL 1959,FRG,1,Sindelfingen (GER) (i),08 FEB 1986,1137
494,7.24,0,Diane WILLIAMS,14 DEC 1960,USA,1h2,"Inglewood, CA (USA) (i)",19 FEB 1988,1137
494,7.24,0,Irina BURLAKOVA,1965,URS,h,Chelyabinsk (URS) (i),03 FEB 1990,1137
494,7.24,0,Marina TRANDENKOVA,07 JAN 1967,RUS,h,Moskva (RUS) (i),14 FEB 1996,1137
494,7.24,0,Ionela ŢIRLEA-MANOLACHE,09 FEB 1976,ROU,1,Bucureşti (ROU) (i),30 JAN 1999,1137
494,7.24,0,Kelli WHITE,01 APR 1977,USA,2,"Indianapolis, IN (USA) (i)",06 FEB 1999,1137
494,7.24,0,Eldece CLARKE-LEWIS,13 FEB 1965,BAH,1,"Johnson City, TN (USA) (i)",28 JAN 2000,1137
494,7.24,0,Marcia RICHARDSON,10 FEB 1972,GBR,5,Birmingham (GBR) (i),20 FEB 2000,1137
494,7.24,0,Natalya ABRAMENKO-YERMOLOVICH,25 DEC 1975,BLR,2,Minsk (BLR) (i),21 FEB 2001,1137
494,7.24,0,Monique TUBBS,23 JAN 1981,USA,1h2,"Fayetteville, AR (USA) (i)",14 MAR 2003,1137
494,7.24,0,Iryna SHTANHYEYEVA,08 FEB 1982,UKR,2h1,Zaporozhye (UKR) (i),29 JAN 2004,1137
494,7.24,0,Heidi HANNULA,26 FEB 1980,FIN,2h3,"Olimpiyskiy Stadion, Moskva (RUS) (i)",10 MAR 2006,1137
494,7.24,0,Yuliya GUSHCHINA,04 MAR 1983,RUS,2,Volgograd (RUS) (i),21 JAN 2007,1137
494,7.24,0,Victoria JORDAN,26 FEB 1990,USA,1,"Houston, TX (USA) (i)",09 FEB 2007,1137
494,7.24,0,Amber PLOWDEN,04 AUG 1980,USA,5,"Boston, MA (USA) (i)",25 FEB 2007,1137
494,7.24,0,Susanna KALLUR,16 FEB 1981,SWE,3sf2,"National Indoor Arena, Birmingham (GBR) (i)",03 MAR 2007,1137
494,7.24,0,Josephine ONYIA,15 JUL 1986,ESP,4,Athina (GRE) (i),13 FEB 2008,1137
494,7.24,0,Emma ANIA,07 FEB 1979,GBR,1,Tampere (FIN) (i),27 FEB 2008,1137
494,7.24,0,Yekaterina BUTUSOVA,10 JAN 1984,RUS,4,Moskva (RUS) (i),13 FEB 2009,1137
494,7.24,0,Inna EFTIMOVA,19 JUN 1988,BUL,3f2,"Peace and Friendship Stadium, Piraeus (GRE) (i)",25 FEB 2009,1137
494,7.24,0,Porscha LUCAS,18 JUN 1988,USA,1h2,"College Station, TX (USA) (i)",27 FEB 2009,1137
494,7.24,0,Vu Thi HUONG,07 OCT 1986,VIE,1,Hanoi (VIE) (i),31 OCT 2009,1137
494,7.24,0,Shavon GREAVES,20 DEC 1988,USA,2,"University Park, PA (USA) (i)",29 JAN 2010,1137
494,7.24,0,Aleksandra FEDORIVA-SPAYER,13 SEP 1988,RUS,1f1,Moskva (RUS) (i),01 FEB 2010,1137
494,7.24,0,Takeia PINCKNEY,24 JUL 1991,USA,1,"Baton Rouge, LA (USA) (i)",05 MAR 2010,1137
494,7.24,0,Brittney REESE,09 SEP 1986,USA,1,Saskatoon (CAN) (i),04 FEB 2011,1137
494,7.24,0,Dominique BOOKER,10 FEB 1992,USA,3sf1,"Fayetteville, AR (USA) (i)",11 FEB 2011,1137
494,7.24,0,Yuliya BALYKINA,12 APR 1984,BLR,1h,Minsk (BLR) (i),18 JAN 2012,1137
494,7.24,0,Tameka WILLIAMS,31 AUG 1989,SKN,3,Karlsruhe (GER) (i),12 FEB 2012,1137
494,7.24,0,Chelsea HAYES,09 FEB 1988,USA,1h2,"Nampa, ID (USA) (i)",24 FEB 2012,1137
494,7.24,0,Ashley COLLIER,04 FEB 1992,USA,4,"Nampa, ID (USA) (i)",10 MAR 2012,1137
494,7.24,0,Trisha-Ann HAWTHORNE,08 NOV 1989,JAM,4,"New York, NY (USA) (i)",16 FEB 2013,1137
494,7.24,0,Kateřina ČECHOVÁ,21 MAR 1988,CZE,1,Praha (CZE) (i),16 FEB 2013,1137
494,7.24,0,Rachel JOHNCOCK,04 OCT 1993,GBR,2h1,"Barclaycard Arena, Birmingham (GBR) (i)",21 FEB 2015,1137
494,7.24,0,Céline DISTEL-BONNET,25 JUL 1987,FRA,3h2,"O2 Arena, Praha (CZE) (i)",07 MAR 2015,1137
494,7.24,0,Audrey ALLOH,21 JUL 1987,ITA,3sf3,"O2 Arena, Praha (CZE) (i)",08 MAR 2015,1137
494,7.24,0,Myasia JACOBS,08 JAN 1994,USA,1,"Boston, MA (USA) (i)",27 FEB 2016,1137
494,7.24,0,Anna BONGIORNI,15 SEP 1993,ITA,4h6,"Arena Birmingham, Birmingham (GBR) (i)",02 MAR 2018,1137
494,7.24,0,Symone MASON,31 AUG 1999,USA,2,"Sports Performance Center, Lubbock, TX (USA) (i)",18 JAN 2020,1137
494,7.24,0,Cynthia LEDUC,16 FEB 1997,FRA,1f1,"Stadium Miramas Métropole, Miramas (FRA) (i)",20 FEB 2021,1137
494,7.24,0,Anavia BATTLE,28 MAR 1999,USA,1,"Nutter Fieldhouse, Lexington, KY (USA) (i)",29 JAN 2022,1137
494,7.24,0,Shannon RAY,23 DEC 1995,USA,1,"Gately Indoor TF Center, Chicago, IL (USA) (i)",19 FEB 2022,1137
494,7.24,0,Ida KARSTOFT,29 OCT 1995,DEN,1f1,"Aarhus Atletik og Løbeakademi, Århus (DEN) (i)",02 MAR 2022,1137
494,7.24,0,Demisha ROSWELL,19 JUN 1998,JAM,1,"Sports Performance Center, Lubbock, TX (USA) (i)",10 FEB 2023,1137
494,7.24,0,Micayah HOLLAND,2004,USA,1,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2023,1137
494,7.24,0,Rosalina SANTOS,18 FEB 1998,POR,2,"Expocentro, Pombal (POR) (i)",18 FEB 2023,1137
494,7.24,0,Erin KINNEY,,USA,1h1,"The DakotaDome, Vermillion, SD (USA) (i)",25 FEB 2023,1137
494,7.24,+0.6,Sada WILLIAMS,01 DEC 1997,BAR,5f2,"National Stadium, Kingston (JAM)",27 JAN 2024,1137
494,7.24,0,Lia LOVE,,USA,1h1,"Sports Performance Center, Lubbock, TX (USA) (i)",09 FEB 2024,1137
494,7.24,+0.4,Roneisha MCGREGOR,09 OCT 1997,JAM,2,"GC Foster College, Spanish Town (JAM)",10 FEB 2024,1137
494,7.24,0,Polyniki EMMANOUILIDOU,30 JUN 2003,GRE,1h1,"Ataköy Arena, Istanbul (TUR) (i)",10 FEB 2024,1137
494,7.24,0,Õilme VÕRO,02 JAN 1996,EST,5h7,"Glasgow Arena, Glasgow (GBR) (i)",02 MAR 2024,1137
553,7.25,0,Patty LOVEROCK,21 FEB 1953,CAN,1,"Portland, OR (USA) (i)",31 JAN 1976,1134
553,7.25,0,Sonia LANNAMAN,24 MAR 1956,GBR,2,"Olympiahalle, München (GER) (i)",22 FEB 1976,1134
553,7.25,0,Romy SCHNEIDER-MÜLLER,26 JUL 1958,GDR,2h4,Senftenberg (GER) (i),19 FEB 1983,1134
553,7.25,0,Ute THIMM,10 JUL 1958,FRG,2,Karlsruhe (GER) (i),31 JAN 1986,1134
553,7.25,0,Olga ANTONOVA,16 FEB 1960,URS,1,Volgograd (URS) (i),10 FEB 1988,1134
553,7.25,0,Olga VORONOVA,23 FEB 1969,URS,sf,Moskva (URS) (i),20 FEB 1988,1134
553,7.25,0,Galina SYOMKINA,1961,URS,2,Vilnius (LTU) (i),28 JAN 1989,1134
553,7.25,0,Grace JACKSON,14 JUN 1961,JAM,2h1,Sindelfingen (GER) (i),26 FEB 1989,1134
553,7.25,0,Eusebia RIQUELME,27 NOV 1969,CUB,4sf2,"Budapest Sportcsarnok, Budapest (HUN) (i)",03 MAR 1989,1134
553,7.25,0,Beatrice UTONDU-OKOYE,23 NOV 1969,NGR,2,Montréal (CAN) (i),17 JAN 1993,1134
553,7.25,0,Desislava DIMITROVA,19 JUN 1972,BUL,1,Sofia (BUL) (i),05 FEB 1994,1134
553,7.25,0,Lucrécia JARDIM,28 JAN 1971,POR,1,Espinho (POR) (i),07 FEB 1998,1134
553,7.25,0,Xiumei LI,1968,CHN,1,Beijing (CHN) (i),22 FEB 2000,1134
553,7.25,0,Huang MEI,15 APR 1975,CHN,1,Beijing (CHN) (i),23 FEB 2000,1134
553,7.25,0,SaDonna THORNTON,16 AUG 1978,USA,h,"Fayetteville, AR (USA) (i)",10 MAR 2000,1134
553,7.25,0,Brianna GLENN,18 APR 1980,USA,3h,"Fayetteville, AR (USA) (i)",08 MAR 2002,1134
553,7.25,0,Bettina MÜLLER-WEISSINA,12 JUL 1973,AUT,2,Linz (AUT) (i),02 MAR 2003,1134
553,7.25,0,Nataliya PYHYDA,30 JAN 1981,UKR,1,Kyiv (UKR) (i),01 FEB 2005,1134
553,7.25,0,Nadine HENTSCHKE,27 JAN 1982,GER,2,Erfurt (GER) (i),04 FEB 2005,1134
553,7.25,0,Stephanie DURST,06 JAN 1982,USA,1,Wien (AUT) (i),31 JAN 2006,1134
553,7.25,0,Jessica BAKASA,,ZIM,1,Aubiére (FRA) (i),18 FEB 2006,1134
553,7.25,0,Laura TURNER,12 AUG 1982,GBR,1,Sheffield (GBR) (i),11 FEB 2007,1134
553,7.25,0,Olga BELKINA,23 AUG 1990,RUS,1,St. Petersburg (RUS) (i),22 JAN 2011,1134
553,7.25,0,Bernice WILSON,21 APR 1984,GBR,2,Sheffield (GBR) (i),12 FEB 2011,1134
553,7.25,0,Miana GRIFFITHS,17 JAN 1990,CAN,1,Toronto (CAN) (i),19 FEB 2011,1134
553,7.25,0,Yekaterina FILATOVA,11 AUG 1989,RUS,1sf2,Moskva (RUS) (i),22 FEB 2012,1134
553,7.25,0,Montell DOUGLAS,24 JAN 1986,GBR,1er,Newham (GBR) (i),13 FEB 2013,1134
553,7.25,0,Hanna-Maari LATVALA,30 OCT 1987,FIN,4h1,"Scandinavium, Göteborg (SWE) (i)",02 MAR 2013,1134
553,7.25,0,Olivia EKPONE,05 JAN 1993,USA,1h4,"College Station, TX (USA) (i)",28 FEB 2014,1134
553,7.25,0,Jennifer MADU,23 SEP 1994,USA,2h5,"College Station, TX (USA) (i)",28 FEB 2014,1134
553,7.25,0,Katie WISE,15 OCT 1993,USA,5h1,"Albuquerque, NM (USA) (i)",14 MAR 2014,1134
553,7.25,0,Chantal BUTZEK,25 FEB 1997,GER,3,Berlin (GER) (i),10 FEB 2017,1134
553,7.25,0,Jerayah DAVIS,15 APR 1996,USA,1h1,"Albuquerque, NM (USA) (i)",24 FEB 2017,1134
553,7.25,0,Madiea GHAFOOR,09 SEP 1992,NED,1h20,Amsterdam (NED) (i),30 DEC 2017,1134
553,7.25,0,Qiqi YUAN,26 OCT 1995,CHN,2,Beijing (CHN) (i),23 MAR 2018,1134
553,7.25,0,Khianna GRAY,30 DEC 1996,USA,4,"Clemson, SC (USA) (i)",08 FEB 2019,1134
